family,n_vars,stage,prefixes,semantic_classes,slw_bits,semantic_rank,accept_prefixes,reject_prefixes,boundary_prefixes,boundary_fraction,future_table_bits,runtime_ms,raw_state_bits,E,R,S,T
random3_n6_s2647,6,0,1,1,0,1,0,0,1,1.0,64,0.1432349999959115,0,0.0,0.0,0.0,1.0
random3_n6_s2647,6,1,2,2,1,2,0,0,2,1.0,64,0.1469409999117488,2,1.0,1.0,2.0,2.0
random3_n6_s2647,6,2,4,4,2,3,0,1,3,0.75,64,0.15483300012419932,8,2.0,2.0,4.0,2.807354922057604
random3_n6_s2647,6,3,8,3,2,2,0,4,4,0.5,64,0.256695000189211,24,1.584962500721156,3.0,3.169925001442312,2.807354922057604
random3_n6_s2647,6,4,16,3,2,2,0,12,4,0.25,64,0.17987999990509707,64,1.584962500721156,4.0,3.169925001442312,2.807354922057604
random3_n6_s2647,6,5,32,3,2,2,0,27,5,0.15625,64,0.15915000039967708,160,1.584962500721156,5.0,3.169925001442312,3.0
random3_n6_s2647,6,6,64,2,1,1,5,59,0,0.0,64,0.20628999982363894,384,1.0,6.0,2.0,1.0
planted3_n6_s3647,6,0,1,1,0,1,0,0,1,1.0,64,0.15599400012433762,0,0.0,0.0,0.0,1.0
planted3_n6_s3647,6,1,2,2,1,2,0,0,2,1.0,64,0.17877900017992943,2,1.0,1.0,2.0,2.0
planted3_n6_s3647,6,2,4,3,2,2,0,2,2,0.5,64,0.16289399991364917,8,1.584962500721156,2.0,3.169925001442312,2.321928094887362
planted3_n6_s3647,6,3,8,3,2,2,0,5,3,0.375,64,0.15759699999762233,24,1.584962500721156,3.0,3.169925001442312,2.584962500721156
planted3_n6_s3647,6,4,16,3,2,2,0,12,4,0.25,64,0.1652490000196849,64,1.584962500721156,4.0,3.169925001442312,2.807354922057604
planted3_n6_s3647,6,5,32,2,1,1,0,27,5,0.15625,64,0.24982499962789007,160,1.0,5.0,2.0,2.807354922057604
planted3_n6_s3647,6,6,64,2,1,1,5,59,0,0.0,64,0.18585899988465826,384,1.0,6.0,2.0,1.0
